filename,path,utt_num,who,role,postcodes,gems,utterance,startTime,endTime
betty,childes/Eng-NA/Bates/Free20/betty,0,MOT,Mother,,,wanna stack them for me,,
betty,childes/Eng-NA/Bates/Free20/betty,5,CHI,Target_Child,,,that baby,,
betty,childes/Eng-NA/Bates/Free20/betty,7,MOT,Mother,,,oh,,
betty,childes/Eng-NA/Bates/Free20/betty,8,MOT,Mother,,,did you say baby,,
betty,childes/Eng-NA/Bates/Free20/betty,10,MOT,Mother,,,what's this,,
betty,childes/Eng-NA/Bates/Free20/betty,12,MOT,Mother,,,what does he say,,
betty,childes/Eng-NA/Bates/Free20/betty,15,MOT,Mother,,,wanna put the car to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,17,MOT,Mother,,,people in the car,,
betty,childes/Eng-NA/Bates/Free20/betty,18,MOT,Mother,,,are they gonna go byebye,,
betty,childes/Eng-NA/Bates/Free20/betty,19,MOT,Mother,,,are the people gonna go byebye,,
betty,childes/Eng-NA/Bates/Free20/betty,21,MOT,Mother,,,one person two,,
betty,childes/Eng-NA/Bates/Free20/betty,22,MOT,Mother,,,where's another person,,
betty,childes/Eng-NA/Bates/Free20/betty,24,MOT,Mother,,,where's another person,,
betty,childes/Eng-NA/Bates/Free20/betty,25,MOT,Mother,,,can you get another one,,
betty,childes/Eng-NA/Bates/Free20/betty,27,MOT,Mother,,,get another one,,
betty,childes/Eng-NA/Bates/Free20/betty,29,MOT,Mother,,,that's good,,
betty,childes/Eng-NA/Bates/Free20/betty,30,MOT,Mother,,,look at that,,
betty,childes/Eng-NA/Bates/Free20/betty,32,MOT,Mother,,,wanna put somebody to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,33,MOT,Mother,,,can you put a person to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,35,MOT,Mother,,,put the person to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,37,MOT,Mother,,,can you put him to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,39,MOT,Mother,,,put him to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,41,MOT,Mother,,,put this chicken to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,43,MOT,Mother,,,oh look at this chair,,
betty,childes/Eng-NA/Bates/Free20/betty,44,MOT,Mother,,,wanna put a person in this chair,,
betty,childes/Eng-NA/Bates/Free20/betty,45,MOT,Mother,,,hm,,
betty,childes/Eng-NA/Bates/Free20/betty,46,CHI,Target_Child,,,chick,,
betty,childes/Eng-NA/Bates/Free20/betty,47,MOT,Mother,,,chicken,,
betty,childes/Eng-NA/Bates/Free20/betty,48,MOT,Mother,,,chicken,,
betty,childes/Eng-NA/Bates/Free20/betty,49,MOT,Mother,,,oh here's a chair,,
betty,childes/Eng-NA/Bates/Free20/betty,50,MOT,Mother,,,want ta put another person in the chair,,
betty,childes/Eng-NA/Bates/Free20/betty,52,MOT,Mother,,,very good,,
betty,childes/Eng-NA/Bates/Free20/betty,53,MOT,Mother,,,now let's see what else we got here,,
betty,childes/Eng-NA/Bates/Free20/betty,54,MOT,Mother,,,here's a table,,
betty,childes/Eng-NA/Bates/Free20/betty,55,MOT,Mother,,,should we eat at the table,,
betty,childes/Eng-NA/Bates/Free20/betty,57,MOT,Mother,,,should we eat at the table,,
betty,childes/Eng-NA/Bates/Free20/betty,58,MOT,Mother,,,should we get something to eat at the table,,
betty,childes/Eng-NA/Bates/Free20/betty,60,MOT,Mother,,,mm,,
betty,childes/Eng-NA/Bates/Free20/betty,61,MOT,Mother,,,mm,,
betty,childes/Eng-NA/Bates/Free20/betty,63,CHI,Target_Child,,,car,,
betty,childes/Eng-NA/Bates/Free20/betty,64,MOT,Mother,,,car,,
betty,childes/Eng-NA/Bates/Free20/betty,66,MOT,Mother,,,is that a mommy,,
betty,childes/Eng-NA/Bates/Free20/betty,67,MOT,Mother,,,is that a mommy,,
betty,childes/Eng-NA/Bates/Free20/betty,69,CHI,Target_Child,,,baby,,
betty,childes/Eng-NA/Bates/Free20/betty,70,MOT,Mother,,,what do you want me to do,,
betty,childes/Eng-NA/Bates/Free20/betty,71,MOT,Mother,,,should I put him to bed,,
betty,childes/Eng-NA/Bates/Free20/betty,72,MOT,Mother,,,oh nightie_nightie,,
betty,childes/Eng-NA/Bates/Free20/betty,74,MOT,Mother,,,wanna put this one in the chair,,
betty,childes/Eng-NA/Bates/Free20/betty,75,MOT,Mother,,,hm,,
betty,childes/Eng-NA/Bates/Free20/betty,76,MOT,Mother,,,look at this,,
betty,childes/Eng-NA/Bates/Free20/betty,77,MOT,Mother,,,climb the ladder,,
betty,childes/Eng-NA/Bates/Free20/betty,78,MOT,Mother,,,should we climb the ladder,,
betty,childes/Eng-NA/Bates/Free20/betty,79,MOT,Mother,,,you're good at that,,
betty,childes/Eng-NA/Bates/Free20/betty,80,MOT,Mother,,,look at this little boy,,
betty,childes/Eng-NA/Bates/Free20/betty,81,MOT,Mother,,,chuh_ch_chuh_ch_chuh,,
betty,childes/Eng-NA/Bates/Free20/betty,82,MOT,Mother,,,boom,,
betty,childes/Eng-NA/Bates/Free20/betty,83,MOT,Mother,,,can you climb the ladder,,
betty,childes/Eng-NA/Bates/Free20/betty,84,MOT,Mother,,,can you get it up there and climb the ladder,,
betty,childes/Eng-NA/Bates/Free20/betty,86,MOT,Mother,,,whoops,,
betty,childes/Eng-NA/Bates/Free20/betty,88,MOT,Mother,,,oh that's so good,,
betty,childes/Eng-NA/Bates/Free20/betty,89,MOT,Mother,,,wanna climb the ladder again,,
betty,childes/Eng-NA/Bates/Free20/betty,91,MOT,Mother,,,why don't you let him climb the ladder,,
betty,childes/Eng-NA/Bates/Free20/betty,93,MOT,Mother,,,go on each step,,
betty,childes/Eng-NA/Bates/Free20/betty,94,MOT,Mother,,,start at the ground,,
betty,childes/Eng-NA/Bates/Free20/betty,96,MOT,Mother,,,go like this,,
betty,childes/Eng-NA/Bates/Free20/betty,97,MOT,Mother,,,boom,,
betty,childes/Eng-NA/Bates/Free20/betty,98,CHI,Target_Child,,,m_ap_ap_ap,,
betty,childes/Eng-NA/Bates/Free20/betty,100,MOT,Mother,,,oh,,
betty,childes/Eng-NA/Bates/Free20/betty,101,MOT,Mother,,,shall we stack these,,
betty,childes/Eng-NA/Bates/Free20/betty,102,MOT,Mother,,,hm,,
betty,childes/Eng-NA/Bates/Free20/betty,104,MOT,Mother,,,let's see wanna put this one inside of that one,,
betty,childes/Eng-NA/Bates/Free20/betty,106,MOT,Mother,,,put them together,,
betty,childes/Eng-NA/Bates/Free20/betty,107,CHI,Target_Child,,,no,,
betty,childes/Eng-NA/Bates/Free20/betty,108,MOT,Mother,,,oh,,
betty,childes/Eng-NA/Bates/Free20/betty,109,MOT,Mother,,,oh,,
betty,childes/Eng-NA/Bates/Free20/betty,110,MOT,Mother,,,try that,,
betty,childes/Eng-NA/Bates/Free20/betty,111,CHI,Target_Child,,,that,,
betty,childes/Eng-NA/Bates/Free20/betty,112,MOT,Mother,,,okay,,
betty,childes/Eng-NA/Bates/Free20/betty,113,MOT,Mother,,,can we put this inside,,
betty,childes/Eng-NA/Bates/Free20/betty,114,MOT,Mother,,,look,,
betty,childes/Eng-NA/Bates/Free20/betty,115,MOT,Mother,,,Mommy's gonna put this inside this one,,
betty,childes/Eng-NA/Bates/Free20/betty,116,MOT,Mother,,,and this inside that one,,
betty,childes/Eng-NA/Bates/Free20/betty,117,MOT,Mother,,,isn't that good,,
betty,childes/Eng-NA/Bates/Free20/betty,118,MOT,Mother,,,why don't you do that,,
betty,childes/Eng-NA/Bates/Free20/betty,119,MOT,Mother,,,huh,,
betty,childes/Eng-NA/Bates/Free20/betty,123,MOT,Mother,,,those all the people,,
betty,childes/Eng-NA/Bates/Free20/betty,124,MOT,Mother,,,hm,,
betty,childes/Eng-NA/Bates/Free20/betty,126,MOT,Mother,,,are those all the people,,
betty,childes/Eng-NA/Bates/Free20/betty,128,CHI,Target_Child,,,oh,,
betty,childes/Eng-NA/Bates/Free20/betty,129,MOT,Mother,,,what is that,,
betty,childes/Eng-NA/Bates/Free20/betty,130,MOT,Mother,,,what is that,,
betty,childes/Eng-NA/Bates/Free20/betty,131,CHI,Target_Child,,,dog,,
betty,childes/Eng-NA/Bates/Free20/betty,132,MOT,Mother,,,a car but what's this,,
betty,childes/Eng-NA/Bates/Free20/betty,133,MOT,Mother,,,what's that,,
betty,childes/Eng-NA/Bates/Free20/betty,135,CHI,Target_Child,,,dog,,
betty,childes/Eng-NA/Bates/Free20/betty,136,MOT,Mother,,,is that a puppy dog,,
betty,childes/Eng-NA/Bates/Free20/betty,137,MOT,Mother,,,is that like Baby_G,,
betty,childes/Eng-NA/Bates/Free20/betty,138,MOT,Mother,,,hm,,
betty,childes/Eng-NA/Bates/Free20/betty,139,CHI,Target_Child,,,no,,
betty,childes/Eng-NA/Bates/Free20/betty,140,MOT,Mother,,,is that like Baby_G,,
betty,childes/Eng-NA/Bates/Free20/betty,141,MOT,Mother,,,oh who's that,,
betty,childes/Eng-NA/Bates/Free20/betty,142,CHI,Target_Child,,,Dad,,
betty,childes/Eng-NA/Bates/Free20/betty,143,MOT,Mother,,,do you see Brian anywhere,,
betty,childes/Eng-NA/Bates/Free20/betty,145,MOT,Mother,,,do you see Brian,,
betty,childes/Eng-NA/Bates/Free20/betty,146,MOT,Mother,,,hm,,
chuck,childes/Eng-NA/Bates/Free20/chuck,0,MOT,Mother,,,try another one,,
chuck,childes/Eng-NA/Bates/Free20/chuck,1,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,2,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,3,CHI,Target_Child,,,ball oh,,
chuck,childes/Eng-NA/Bates/Free20/chuck,4,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,5,MOT,Mother,,,those are very hard,,
chuck,childes/Eng-NA/Bates/Free20/chuck,6,MOT,Mother,,,let can I get one out,,
chuck,childes/Eng-NA/Bates/Free20/chuck,7,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,8,MOT,Mother,,,I'm gonna get the square one okay,,
chuck,childes/Eng-NA/Bates/Free20/chuck,10,MOT,Mother,,,okay,,
chuck,childes/Eng-NA/Bates/Free20/chuck,13,MOT,Mother,,,there,,
chuck,childes/Eng-NA/Bates/Free20/chuck,14,MOT,Mother,,,good boy,,
chuck,childes/Eng-NA/Bates/Free20/chuck,17,MOT,Mother,,,boy boy boy boy boy,,
chuck,childes/Eng-NA/Bates/Free20/chuck,18,MOT,Mother,,,yeah neat,,
chuck,childes/Eng-NA/Bates/Free20/chuck,19,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,20,MOT,Mother,,,balls go right through there so neat,,
chuck,childes/Eng-NA/Bates/Free20/chuck,21,MOT,Mother,,,don't they,,
chuck,childes/Eng-NA/Bates/Free20/chuck,22,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,23,MOT,Mother,,,uhhuh,,
chuck,childes/Eng-NA/Bates/Free20/chuck,26,MOT,Mother,,,that just doesn't go there does it,,
chuck,childes/Eng-NA/Bates/Free20/chuck,27,MOT,Mother,,,try another one,,
chuck,childes/Eng-NA/Bates/Free20/chuck,29,MOT,Mother,,,try another one,,
chuck,childes/Eng-NA/Bates/Free20/chuck,30,CHI,Target_Child,,,uhuh,,
chuck,childes/Eng-NA/Bates/Free20/chuck,31,MOT,Mother,,,oops,,
chuck,childes/Eng-NA/Bates/Free20/chuck,32,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,33,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,34,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,35,CHI,Target_Child,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,36,MOT,Mother,,,that's right,,
chuck,childes/Eng-NA/Bates/Free20/chuck,38,MOT,Mother,,,that's right,,
chuck,childes/Eng-NA/Bates/Free20/chuck,41,MOT,Mother,,,what,,
chuck,childes/Eng-NA/Bates/Free20/chuck,43,CHI,Target_Child,,,where ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,44,MOT,Mother,,,ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,45,MOT,Mother,,,where ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,46,MOT,Mother,,,look on the outside,,
chuck,childes/Eng-NA/Bates/Free20/chuck,47,MOT,Mother,,,is it outside the box,,
chuck,childes/Eng-NA/Bates/Free20/chuck,49,MOT,Mother,,,outside the box,,
chuck,childes/Eng-NA/Bates/Free20/chuck,50,MOT,Mother,,,hm,,
chuck,childes/Eng-NA/Bates/Free20/chuck,51,CHI,Target_Child,,,where ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,52,MOT,Mother,,,look around,,
chuck,childes/Eng-NA/Bates/Free20/chuck,54,MOT,Mother,,,that's inside,,
chuck,childes/Eng-NA/Bates/Free20/chuck,55,CHI,Target_Child,,,where ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,56,MOT,Mother,,,outside,,
chuck,childes/Eng-NA/Bates/Free20/chuck,57,CHI,Target_Child,,,where ball,,
chuck,childes/Eng-NA/Bates/Free20/chuck,58,MOT,Mother,,,look outside,,
